"","Title","Year","journal"
"1","Psychosocial impacts of adult strabismus and strabismus surgery: a review of the literature.",2016,"Can J Ophthalmol"
"2","Seroprevalence of syphilis by VDRL test and biological false positive reactions in different patient populations: Is it alarming? Our experience from a tertiary care center in India.",2016,"Indian J Sex Transm Dis AIDS"
"3","Prevalence and trends of hepatitis B virus, Hepatitis C virus, Human immunodeficiency virus 1, 2 and syphilis infections among blood donors in a regional transfusion center in Punjab, India: A 3 years study.",2016,"Indian J Sex Transm Dis AIDS"
"7","Enhancing Masculine Features After Massive Weight Loss.",2016,"Aesthetic Plast Surg"
"8","Consensus on Current Injectable Treatment Strategies in the Asian Face.",2016,"Aesthetic Plast Surg"
"9","The Aesthetically Ideal Position of the Nipple-Areola Complex on the Breast.",2016,"Aesthetic Plast Surg"
"10","Longitudinal trajectories of athlete burnout among young table tennis players: A 3-wave study.",2016,"J Sport Health Sci"
"14","The experience of fatigue in neurological patients with Multiple Sclerosis: a thematic synthesis.",2016,"Physiotherapy"
"15","Rapidly Evolving Large Rhinolith: Cause of Recurrent Nasal Bleed.",2016,"Indian J Otolaryngol Head Neck Surg"
"16","Nasal Congenital Panfollicular Nevus.",2016,"Indian J Otolaryngol Head Neck Surg"
"17","Treatment of Allergic Rhinitis: A Comparative Study of Traditional Antihistamine oral Rupatidine Versus Oral Rupatidine with a Lipid Based Nasal Ointment.",2016,"Indian J Otolaryngol Head Neck Surg"
"18","Mixed Type Haemangioma of the Inferior Turbinate: A Rare Cause of Epistaxis.",2016,"Indian J Otolaryngol Head Neck Surg"
"19","Appraisal of diversity and functional attributes of thermotolerant wheat associated bacteria from the peninsular zone of India.",2016,"Saudi J Biol Sci"
"20","Osteoma of Mastoid Bone; A Rare Presentation: Case Report.",2016,"Indian J Otolaryngol Head Neck Surg"
"21","A Rare Case of Heerfordt's Syndrome with Bilateral Facial Palsy.",2016,"Indian J Otolaryngol Head Neck Surg"
"22","Tongue Base Schwannoma.",2016,"Indian J Otolaryngol Head Neck Surg"
"23","Grisel Syndrome in Otolaryngology: A Case Series with Literature Review.",2016,"Indian J Otolaryngol Head Neck Surg"
"24","Epithelial Myoepithelial Carcinoma of Parotid Gland.",2016,"Indian J Otolaryngol Head Neck Surg"
"25","Apocrine Hidrocystoma: A Rare Case Report.",2016,"Indian J Otolaryngol Head Neck Surg"
"26","Disfiguring Giant Odontogenic Myxoma of Mandible: A Case Report with Brief Review of Literature.",2016,"Indian J Otolaryngol Head Neck Surg"
"27","Proton Beam Therapy for Locally Recurrent Parotid Gland Cancer.",2016,"Indian J Otolaryngol Head Neck Surg"
"28","Stridor Secondary to Acquired Subglottic Cyst: Rarity Makes it Missed.",2016,"Indian J Otolaryngol Head Neck Surg"
"29","Parry Romberg Syndrome.",2016,"Indian J Otolaryngol Head Neck Surg"
"30","Solitary Neurofibroma of the Soft Palate: A Rare Entity.",2016,"Indian J Otolaryngol Head Neck Surg"
"31","Emotions and performance in rugby.",2016,"J Sport Health Sci"
"33","Comparison of three types of warm-up upon sprint ability in experienced soccer players.",2016,"J Sport Health Sci"
"35","Training session intensity affects plasma redox status in amateur rhythmic gymnasts.",2016,"J Sport Health Sci"
"41","Does Continuing Medical Education (CME) Activity Contribute to Learning Gain: An Objective Evaluation.",2016,"Indian J Otolaryngol Head Neck Surg"
"42","Influences of load carriage and physical activity history on tibia bone strain.",2016,"J Sport Health Sci"
"43","Effects of intermittent sprint and plyometric training on endurance running performance.",2016,"J Sport Health Sci"
"45","Kinematic alterations after two high-intensity intermittent training protocols in endurance runners.",2016,"J Sport Health Sci"
"47","Genetic variations of NOD2 and MD2 genes in hepatitis B virus infection.",2016,"Saudi J Biol Sci"
"54","Spectrum of Tuberculous Infection in Patients Suffering from HIV/AIDS and Its Correlation with CD-4 Counts: A Retrospective Study from Sikkim.",2016,"Indian J Otolaryngol Head Neck Surg"
"55","Expression of micrornas in molecular genetic breast cancer subtypes.",2016,"Cancer Treat Res Commun"
"56","The effect of performance demands on lower extremity biomechanics during landing and cutting tasks.",2016,"J Sport Health Sci"
"58","Pharmacotherapy of unlicensed medicines prepared and distributed by Dutch pharmacies.",2016,"Eur J Hosp Pharm"
"59","Current practice of preparing morphine infusions for nurse/patient-controlled analgesia in a UK paediatric hospital: healthcare professionals' views and experiences.",2016,"Eur J Hosp Pharm"
"60","What do laypeople consider 'medication' and are they aware of modulators of a drug's effects?",2016,"Eur J Hosp Pharm"
"61","Physicochemical stability of oxycodone-ketamine solutions in polypropylene syringe and polyvinyl chloride bag for patient-controlled analgesia use.",2016,"Eur J Hosp Pharm"
"62","Building for better bones: evaluation of a clinical pathway in the secondary prevention of osteoporotic fractures.",2016,"Eur J Hosp Pharm"
"63","Feasibility of a multidisciplinary approach for medical review among elderly patients in four Italian long-term nursing homes.",2016,"Eur J Hosp Pharm"
"64","Oral anticancer medicines in acute oncology; recognition by non-specialist clinicians and risk reduction measures.",2016,"Eur J Hosp Pharm"
"65","Compatibility of proton pump inhibitors in a preservative-free suspending vehicle.",2016,"Eur J Hosp Pharm"
"67","Presacral tumors: diagnosis and treatment - a challenge for a surgeon.",2016,"Arch Med Sci"
"72","Premature battery depletion with St. Jude Medical ICD and CRT-D devices: Indian Heart Rhythm Society Guidelines for physicians.",2016,"Indian Heart J"
"73","Determinants of inspiratory muscle function in healthy children.",2016,"J Sport Health Sci"
"76","Nonconsensual Neurocorrectives and Bodily Integrity: a Reply to Shaw and Barn.",2016,"Neuroethics"
"77","Can Medical Interventions Serve as 'Criminal Rehabilitation'?",2016,"Neuroethics"
"78","Procedural Moral Enhancement.",2016,"Neuroethics"
"83","The libertarian predicament: a plea for action theory.",2016,"Synthese"
"97","Monitoring stress and recovery states: Structural and external stages of the short version of the RESTQ sport in elite swimmers before championships.",2016,"J Sport Health Sci"
"98","The impact of weather on summer and winter exercise behaviors.",2016,"J Sport Health Sci"
"102","Evaluation of inflammatory response in patients undergoing surgical treatment for early and delayed femoral fractures.",2016,"Arch Med Sci"
"103","Soluble urokinase plasminogen activator receptor in one-year prediction of major adverse cardiac events in patients after first myocardial infarction treated with primary percutaneous coronary intervention.",2016,"Arch Med Sci"
"110","Comparing symbiotic performance and physiological responses of two soybean cultivars to arbuscular mycorrhizal fungi under salt stress.",2016,"Saudi J Biol Sci"
"121","The potential protective influence of flaxseed oil against renal toxicity induced by thioacetamide in rats.",2016,"Saudi J Biol Sci"
"122","Assessment of heavy metal contamination and Hg-resistant bacteria in surface water from different regions of Delhi, India.",2016,"Saudi J Biol Sci"
"123","Factors influencing chemical quality of composted poultry waste.",2016,"Saudi J Biol Sci"
"124","On the formation of taiji diagram from the perspective of twenty-four solar terms.",2016,"Saudi J Biol Sci"
"125","Removal of vanadium from vanadium-containing wastewater by amino modified municipal sludge derived ceramic.",2016,"Saudi J Biol Sci"
"126","Public health and veterinary important flies (order: Diptera) prevalent in Jeddah Saudi Arabia with their dominant characteristics and identification key.",2016,"Saudi J Biol Sci"
"128","Impact of lactation stage on milk composition and blood biochemical and hematological parameters of dairy Baladi goats.",2016,"Saudi J Biol Sci"
"130","Interaction with angiotensin-converting enzyme-encoding gene in female infertility: Insertion and deletion polymorphism studies.",2016,"Saudi J Biol Sci"
"133","Combining GIS application and climatic factors for mosquito control in Eastern Province, Saudi Arabia.",2016,"Saudi J Biol Sci"
"134","Studies on the ameliorative effect of curcumin on carbofuran induced perturbations in the activity of lactate dehydrogenase in wistar rats.",2016,"Saudi J Biol Sci"
"138","Effects of folic acid on the antiproliferative efficiency of doxorubicin, camptothecin and methyl methanesulfonate in MCF-7 cells by mRNA endpoints.",2016,"Saudi J Biol Sci"
"139","Seed maturation time influences the germination requirements of perennial grasses in desert climate of Arabian Gulf.",2016,"Saudi J Biol Sci"
"151","Modeling studies on mono and binary component biosorption of phenol and cyanide from aqueous solution onto activated carbon derived from saw dust.",2016,"Saudi J Biol Sci"
"155","Middle East respiratory syndrome coronavirus (MERS-CoV): Impact on Saudi Arabia, 2015.",2016,"Saudi J Biol Sci"
"158","Effects of the perinatal exposure of Gum Arabic on the development, behavior and biochemical parameters of mice offspring.",2016,"Saudi J Biol Sci"
"160","The utility of inflammation and platelet biomarkers in patients with acute coronary syndromes.",2016,"Saudi J Biol Sci"
"161","Hepatitis B virus precore G1896A mutation in chronic liver disease patients with HBeAg negative serology from North India.",2016,"Saudi J Biol Sci"
"167","Intention and automaticity toward physical and sedentary screen-based leisure activities in adolescents: A profile perspective.",2016,"J Sport Health Sci"
"169","The effects of oral smokeless tobacco administration on endurance performance.",2016,"J Sport Health Sci"
"179","Connexin 43 expression in the testes during postnatal development of finasteride-treated male rat offspring.",2016,"Arch Med Sci"
"180","Health needs as a priority of local authorities in Poland based on the example of implementation of health policy cancer programmes.",2016,"Arch Med Sci"
"181","High-normal thyroid-stimulating hormone in euthyroid subjects is associated with risk of mortality and composite disease endpoint only in women.",2016,"Arch Med Sci"
"195","Does the McNeill Alexander model accurately predict maximum walking speed in novice and experienced race walkers?",2016,"J Sport Health Sci"
"196","Footfall patterns of a runner with an Achilles tendon rupture.",2016,"J Sport Health Sci"
"197","The effect of fitness level on cardiac autonomic regulation, IL-6, total antioxidant capacity, and muscle damage responses to a single bout of high-intensity interval training.",2016,"J Sport Health Sci"
"198","Reliability and validity of the French version of the global physical activity questionnaire.",2016,"J Sport Health Sci"
