"","Title","Year","journal"
"11","Generalized linear porokeratosis.",2018,"An Bras Dermatol"
"37","PHACE syndrome: clinical manifestations, diagnostic criteria, and management.",2018,"An Bras Dermatol"
"56","Yellow urticaria in a patient on prophylactic antiretroviral therapy.",2018,"An Bras Dermatol"
"61","Histogenetic categorization of atypical melanocytic tumor of uncertain biological malignant potential.",2018,"An Bras Dermatol"
"66","Donovanosis in a child victim of sexual abuse: response to doxycycline treatment.",2018,"An Bras Dermatol"
"69","Do you know this syndrome? Harlequin syndrome.",2018,"An Bras Dermatol"
"78","Complete lymphadenectomy following positive sentinel lymph node biopsy in cutaneous melanoma: a critical review.",2018,"An Bras Dermatol"
"85","Prevalence of dermatoses in patients referred for evaluation in an outpatient clinic of specialties.",2018,"An Bras Dermatol"
"126","Sweetpotato seed exchange systems and knowledge on sweetpotato viral diseases among local farmers in Acholi Sub Region-Northern Uganda.",2018,"Afr J Agric Res"
"131","The Effects of Resistance Training on Health of Children and Adolescents With Disabilities.",2018,"Am J Lifestyle Med"
"132","Factors Influencing Nutritional Behavior Among Patients With Metabolic Syndrome.",2018,"Am J Lifestyle Med"
"135","Response of Grain Legumes to Phosphorus Application in the Guinea Savanna Agro-Ecological Zones of Ghana.",2018,"Agron J"
"138","Virtual reality in the rehabilitation process for individuals with cerebral palsy and Down syndrome: A systematic review.",2018,"J Bodyw Mov Ther"
"141","[Impact of the kangaroo method of breastfeeding of preterm newborn infants in Brazil: an integrative review].",2018,"Cien Saude Colet"
"142","[Intra-family and school violence scale using the Item Response Theory].",2018,"Cien Saude Colet"
"143","[Large-scale contamination by Bisphenol A: are we aware of the risk and forms of exposure?]",2018,"Cien Saude Colet"
"144","When public health systems are news: a comparative analysis of the journalistic coverage in Brazil and Spain.",2018,"Cien Saude Colet"
"145","Recurrent apnea in an infant: Lessons for the clinician.",2018,"Med J Armed Forces India"
"146","Angiomyolipoma of vulva: Rare tumour at an unusual site.",2018,"Med J Armed Forces India"
"150","Robotic partial nephrectomy in a child with kidney tumor.",2018,"Turk J Urol"
"151","A rare congenital fusion anomaly of the urinary tract: Pancake kidney.",2018,"Turk J Urol"
"153","Black pearl in urology: Inadvertent anastomosis of gonadal vein to ureter leading to malpostioning of stent into the inferior vena cava.",2018,"Turk J Urol"
"154","Isolated flat desmoid-type terminal ileal mesenteric fibromatosis masquerading as lower ureteric stricture-an intraoperative surprise.",2018,"Turk J Urol"
"155","Management of ureteral endometriosis and review of the literature.",2018,"Turk J Urol"
"156","Selective renal segmental artery embolization for hydronephrotic upper renal moiety: simple alternative to standard surgical resection.",2018,"Turk J Urol"
"159","Portal hypertension in pregnancy - Concealed perils.",2018,"Obstet Med"
"160","Sexual behavior pattern in the young attending sexually transmitted infection clinic in a tertiary health-care center.",2018,"Indian J Sex Transm Dis AIDS"
"161","Is there any perceptiveness about the mode of transmission of human immunodeficiency virus/acquired immune deficiency syndrome? An analysis among the adolescent tribal students in Tamil Nadu.",2018,"Indian J Sex Transm Dis AIDS"
"162","Effectiveness of structured teaching programme on transmission and prevention of human immunodeficiency virus/acquired immune deficiency syndrome among adolescent girls in Lowry Memorial High School, Bengaluru.",2018,"Indian J Sex Transm Dis AIDS"
"163","A study on satisfaction level among patients attending sexually transmitted infections clinic.",2018,"Indian J Sex Transm Dis AIDS"
"165","Coexistence of inclusion lung with hydatid invasion: a rare case report.",2018,"Indian J Thorac Cardiovasc Surg"
"166","&quot;Double-ring&quot; combined aortic and mitral valve repair.",2018,"Indian J Thorac Cardiovasc Surg"
"168","Beyond Formal Access: Organizational Context, Working From Home, and Work-Family Conflict of Men and Women in European Workplaces.",2018,"Soc Indic Res"
"169","Flexible Working, Work-Life Balance, and Gender Equality: Introduction.",2018,"Soc Indic Res"
"175","Prevalence and factors associated with multimorbidities in Brazilian older adults.",2018,"Cien Saude Colet"
"176","[Prevention of physical disabilities due to leprosy in Brazil: a historic analysis].",2018,"Cien Saude Colet"
"177","Epidemiological trends of leprosy in Goiás, Brasil.",2018,"Cien Saude Colet"
"178","Mortality among former youth offenders.",2018,"Cien Saude Colet"
"188","[&quot;The guests are never right&quot; - Work-related self-understanding of bartenders working at hip venues].",2018,"Nordisk Alkohol Nark"
"189","Regular moderate aerobic exercise improves high-fat diet-induced nonalcoholic fatty liver disease via monoacylglycerol O-acyltransferase 1 pathway suppression.",2018,"J Sport Health Sci"
"190","Intravenous omega-3 fatty acids are associated with better clinical outcome and less inflammation in patients with predicted severe acute pancreatitis: A randomised double blind controlled trial.",2018,"Clin Nutr"
"196","Considerations about the Neuropsychiatric Conditions of Quixote of La Mancha.",2018,"Rev Colomb Psiquiatr"
"197","Adult Gender Dysphoria with Coronary Disease. Case Report and Literature Review.",2018,"Rev Colomb Psiquiatr"
"198","Reversible Alopecia Secondary to OROS Methylphenidate.",2018,"Rev Colomb Psiquiatr"
"199","Neurocognitive disorder due to neurosyphilis: a case report.",2018,"Rev Colomb Psiquiatr"
"200","Trazodone-induced delirium: case report.",2018,"Rev Colomb Psiquiatr"
"201","Factor Structure of Cotard's Syndrome: Systematic Review of Case Reports.",2018,"Rev Colomb Psiquiatr"
"202","An Explanatory Model of Suicidal Behaviour in Indigenous Peoples of the Department of Vaupés, Colombia.",2018,"Rev Colomb Psiquiatr"
"203","Risk of Eating Disorders and Use of Social Networks in Female Gym-Goers in the City of Medellín, Colombia.",2018,"Rev Colomb Psiquiatr"
"204","Psychometric Analysis of the Body Shape Questionnaire in Mexican University Students.",2018,"Rev Colomb Psiquiatr"
"205","Factors Associated With Suicidal Ideation in Older Adults From Three Cities in Colombia, 2016.",2018,"Rev Colomb Psiquiatr"
