"","Title","Year","journal"
"2","The Use of Synthetic Mesh in Reconstructive, Revision, and Cosmetic Breast Surgery.",2013,"Aesthetic Plast Surg"
"9","Intravenous acetaminophen vs. ketorolac for postoperative analgesia after ambulatory parathyroidectomy.",2013,"Scand J Pain"
"11","Psychosocial and personality factors and physical measures in lateral epicondylalgia reveal two groups of &quot;tennis elbow&quot; patients, requiring different management.",2013,"Scand J Pain"
"13","Somatosensory and trophic findings in the referred pain area in patients with kidney stone disease.",2013,"Scand J Pain"
"15","Buprenorphine-Clinically useful but often misunderstood.",2013,"Scand J Pain"
"26","Transparency in the reporting of in vivo pre-clinical pain research: The relevance and implications of the ARRIVE (Animal Research: Reporting In Vivo Experiments) guidelines.",2013,"Scand J Pain"
"53","Pain and other symptoms in patients with chronic benign paroxysmal positional vertigo (BPPV).",2013,"Scand J Pain"
"54","Chronic pain: One year prevalence and associated characteristics (the HUNT pain study).",2013,"Scand J Pain"
"55","Effectiveness of multidisciplinary rehabilitation treatment for patients with chronic pain in a primary health care unit.",2013,"Scand J Pain"
"58","Significance tests in clinical research-Challenges and pitfalls.",2013,"Scand J Pain"
"63","Mirror therapy for Complex Regional Pain Syndrome (CRPS)-A literature review and an illustrative case report.",2013,"Scand J Pain"
"66","New objective findings after whiplash injuries: High blood flow in painful cervical soft tissue: An ultrasound pilot study.",2013,"Scand J Pain"
"69","Vasoactive intestinal peptide (VIP) and pituitary adenylate cyclase-activating polypeptide (PACAP) in the circulation after sumatriptan.",2013,"Scand J Pain"
"70","Mechanistic, translational, quantitative pain assessment tools in profiling of pain patients and for development of new analgesic compounds.",2013,"Scand J Pain"
"72","In praise of anesthesia: Two case studies of pain and suffering during major surgical procedures with and without anesthesia in the United States Civil War-1861-65.",2013,"Scand J Pain"
"73","Highly sensitive assay for the determination of therapeutic peptide desmopressin in human plasma by UPLC-MS/MS.",2013,"J Pharm Anal"
"74","Development and validation of a stability-indicating RP-HPLC method for estimation of atazanavir sulfate in bulk.",2013,"J Pharm Anal"
"85","Case Studies.",2013,"J Clin Immunol"
"86","Supplement: Frontiers in Immunoglobulin Therapy of Primary Immunodeficiency Disease.",2013,"J Clin Immunol"
"87","Understanding changes in the hydrological behaviour within a karst aquifer (Lurbach system, Austria).",2013,"Carbonates Evaporites"
"89","Mesenteric lipoblastoma presenting as a small intestinal volvulus in an infant: A case report and literature review.",2013,"Asian J Surg"
"102","Optimizing a multifunctional microsphere scaffold to improve neural precursor cell transplantation for traumatic brain injury repair.",2013,"J Tissue Eng Regen Med"
"103","Parathyroid carcinoma in tertiary hyperparathyroidism.",2013,"Asian J Surg"
"104","Anesthesia in a patient with Stiff Person Syndrome.",2013,"Braz J Anesthesiol"
"105","Inappropriate fixation of an endotracheal tube causing cuff malfunction resulting in difficult extubation.",2013,"Braz J Anesthesiol"
"108","Psychogenic non-epileptic seizures in the post-anesthesia recovery unit.",2013,"Braz J Anesthesiol"
"114","Child-led enquiry in primary science.",2013,"Educ 3 13"
"115","Histologic and immunohistochemical characterization of thymic epithelial tumours in the dog.",2013,"Vet Comp Oncol"
"116","Revealing facts behind spray dried solid dispersion technology used for solubility enhancement.",2013,"Saudi Pharm J"
"117","Diabetes treatment: A rapid review of the current and future scope of stem cell research.",2013,"Saudi Pharm J"
"119","Pulse contour analysis calibrated by Trans-pulmonar thermodilution (Picco Plus(®)) for the perioperative management of a caesarean section in a patient with severe cardiomyopathy.",2013,"Braz J Anesthesiol"
"120","(Z)-9-Tricosene based Musca domestica lure study on a garbage dump yard using plywood sticky trap baited with fish meal.",2013,"J Parasit Dis"
"122","Delayed small bowel perforation following blunt abdominal trauma: A case report and review of the literature.",2013,"Asian J Surg"
"123","Design and synthesis of some substituted thiazolo[3,2-a]pyrimidine derivatives of potential biological activities.",2013,"Saudi Pharm J"
"124","Preoperative Scintigrams to Identify the Sentinel Lymph Node in Breast Cancer: a Waste of Time?",2013,"Indian J Surg"
"125","Omental infarct mimicking acute pancreatitis.",2013,"Indian J Surg"
"126","Double Appendix.",2013,"Indian J Surg"
"127","Gallbladder Adenosquamous Carcinoma Associated with Biliopancreatic Maljunction and Cystic Metastases of the Liver Miming Abscess.",2013,"Indian J Surg"
"128","Kidney Salvage During Surgical Treatment of a Pararenal Mycotic Aortic Aneurysm.",2013,"Indian J Surg"
"129","Is There a Relation Between Pyloric Muscle Thickness and Clinical and Laboratory Data in Infants with Hypertrophic Pyloric Stenosis?",2013,"Indian J Surg"
"130","Rural Surgery in Niger: A Multicentric Study in 21 District Hospitals.",2013,"Indian J Surg"
"131","Microfoam Sclerotherapy for Varicose Veins: a Retrospective Analysis of a Modified Technique.",2013,"Indian J Surg"
"132","Clinical Significance of Spleen-Remnant Liver Volume Ratio in Hepatocellular Carcinoma Surgery.",2013,"Indian J Surg"
"133","Rate and Risk Factors of the Advanced Adenomas Among Diminutive Colorectal Polyps.",2013,"Indian J Surg"
"134","Histopathological Response and Adhesion Formation After Omentectomy with Ultrasonic Energy, Bipolar Sealing, and Suture Ligation.",2013,"Indian J Surg"
"135","Subtrochanteric Fractures: Comparison of Proximal Femur Locking Plate and Intramedullary Locking Nail Fixation Outcome.",2013,"Indian J Surg"
"136","Prospective Randomized Study Comparing Robotic-Assisted Surgery with Traditional Laparotomy for Rectal Cancer-Indian Study.",2013,"Indian J Surg"
"137","Comparison of Laparoscopic Distal Pancreatectomy with or without Splenic Preservation.",2013,"Indian J Surg"
"138","Subtotal Pancreatectomy for Congenital Hyperinsulinism: Our Experience and Review of Literature.",2013,"Indian J Surg"
"139","Picture Archiving and Communication System (PACS): Clinician's Perspective About Filmless Imaging.",2013,"Indian J Surg"
"140","Complicated Perianal Sepsis.",2013,"Indian J Surg"
"141","A Technique of Single-Incision Laparoscopic Appendectomy Using Conventional Multiport Laparoscopic Instruments (SILACI): Preliminary Experience of 32 Cases.",2013,"Indian J Surg"
"142","Esophageal Calibration with Soft Orogasrtric Tube During Laparoscopic Nissen Fundoplication may Reduce Postoperative Transient Dysphagia.",2013,"Indian J Surg"
"145","A green analytical method for rapid determination of pectin degree of esterification using micro sequential injection lab-on-valve system.",2013,"Food Chem"
"146","Pressure support ventilation with the I-gel in intensive care unit: case report.",2013,"Braz J Anesthesiol"
"147","Neurogenic pulmonary edema due to ventriculo-atrial shunt dysfunction: a case report.",2013,"Braz J Anesthesiol"
"148","Cardiac complications in a metamizole-induced type I Kounis syndrome.",2013,"Braz J Anesthesiol"
"152","Biomedical microelectromechanical systems (BioMEMS): Revolution in drug delivery and analytical techniques.",2013,"Saudi Pharm J"
"153","Ultrasonography and magnetic resonance imaging of ulnar nerve abscess in leprosy.",2013,"Med J Armed Forces India"
"156","Enhancement of Antibody Titre and Development of Additional Red Cell Alloantibodies Following Intrauterine Transfusion.",2013,"Indian J Hematol Blood Transfus"
"157","Restoring smile: An integrated prosthodontic approach.",2013,"Med J Armed Forces India"
"158","Aspiration of an endodontic file.",2013,"Med J Armed Forces India"
"159","Comprehensive rehabilitation of a worn out dentition with complete coverage ceramic restorations.",2013,"Med J Armed Forces India"
"160","Single visit reattachment of fractured incisal edges using different post systems.",2013,"Med J Armed Forces India"
"161","Rarest muscular imbalance, neutral zone shift and facial asymmetry.",2013,"Med J Armed Forces India"
"162","Customizing the palatal contour of a complete denture using a Palatogram in a case of partial glossectomy.",2013,"Med J Armed Forces India"
"164","Prosthodontic rehabilitation protocols for immediate implants.",2013,"Med J Armed Forces India"
"165","Non surgical repair of iatrogenic furcal perforation of radix entomolaris.",2013,"Med J Armed Forces India"
"166","Obstructive sleep apnea (OSA): A prosthodontic perspective.",2013,"Med J Armed Forces India"
"167","Evaluation of dental implant insertion torque using a manual ratchet.",2013,"Med J Armed Forces India"
"168","Dimensional accuracy of two rubber base impression materials as a function of spacer design and techniques in custom trays for fixed partial dentures.",2013,"Med J Armed Forces India"
"169","Intrapulpal thermal changes during direct provisionalization using various autopolymerizing resins: Ex-vivo study.",2013,"Med J Armed Forces India"
"171","Autonomic dysreflexia: a possible trigger for the development of heterotopic ossifications after traumatic spinal cord injury? : A clinical longitudinal study.",2013,"Eur J Trauma Emerg Surg"
"172","Urban versus rural trauma recidivism: is there a difference?",2013,"Eur J Trauma Emerg Surg"
"175","Efficacy and safety of low-dose celecoxib in reducing post-operative paralytic ileus after major abdominal surgery.",2013,"ANZ J Surg"
"178","Continuous spinal anaesthesia with minimally invasive haemodynamic monitoring for surgical hip repair in two patients with severe aortic stenosis.",2013,"Braz J Anesthesiol"
"179","An Unusual Reason for Gastric Variceal Hemorrhage: Wandering Spleen.",2013,"Indian J Surg"
"180","A Massive Intratumoral Aneurysmal Vessel in a Retroperitoneal Lipoblastoma.",2013,"Indian J Surg"
"181","A Case of Exophytic Angiomyolipoma of the Liver.",2013,"Indian J Surg"
"182","Choledochal Cyst with Aberrant Right Posterior Sectoral Duct.",2013,"Indian J Surg"
"183","Ogilvie Syndrome and Chilaiditi Syndrome: a Strange Association.",2013,"Indian J Surg"
"184","A Case of Dermatofibrosarcoma Protuberans of the Trunk.",2013,"Indian J Surg"
"185","Spilled Gallstone: Late Presentation.",2013,"Indian J Surg"
"186","Port Site Tuberculosis Presenting as Nonhealing Sinus After Laparoscopic Appendicectomy.",2013,"Indian J Surg"
"187","Appendix in Inguinal Hernia-Amyand's Hernia.",2013,"Indian J Surg"
"188","An Interesting Cause of Mechanical Small Bowel Obstruction.",2013,"Indian J Surg"
"189","Giant Condyloma Acuminata of the Inguinal Region.",2013,"Indian J Surg"
"190","Rudimentary Gallbladder Mimicking Choledochal Cyst.",2013,"Indian J Surg"
"191","Multiple Sebaceous Horn on the Penis-an Interesting Case Report.",2013,"Indian J Surg"
"192","Patent Urachus in a Neonate: a Rarity.",2013,"Indian J Surg"
"193","Minimally Invasive Anal Fistula Treatment (MAFT)-An Appraisal of Early Results in 416 Patients.",2013,"Indian J Surg"
"194","Post-mortem Reperfusion of a Pig: a First Step to a New Surgical Training Model?",2013,"Indian J Surg"
"195","'Single-Sitting' Laparoscopic Cholecystectomy and Endoscopic Removal of Common Bile Duct Stone for Cholelithiasis and Choledocholithiasis: a Feasibility Study.",2013,"Indian J Surg"
"196","Preventing Delayed Gastric Emptying After Whipple's Procedure-Isolated Roux Loop Reconstruction With Pancreaticogastrostomy.",2013,"Indian J Surg"
"197","Clinical Treatment and Analysis of Laparoscopic Enterolysis Surgery.",2013,"Indian J Surg"
"198","Combined Use of the Mathieu and Incised Urethral Plate Techniques for Repair of Distal Penile Hypospadias.",2013,"Indian J Surg"
"199","A Retrospective Study of 40 Cases of Pilonidal Sinus with Excision of Tract and Z-plasty as Treatment of Choice for Both Primary and Recurrent Cases.",2013,"Indian J Surg"
"200","Various Spectrum of MRI Findings in Articular and Para-articular Tuberculosis: Pictorial Assay.",2013,"Indian J Surg"
"201","Surgical Treatment of Scar Endometriosis Following Cesarean Section, a Series of 12 Cases.",2013,"Indian J Surg"
"202","Gastrointestinal Stromal Tumor-Single-Center Experience with Review of the Literature.",2013,"Indian J Surg"
"203","Classification and Management of Subcutaneous Emphysema: a 10-Year Experience.",2013,"Indian J Surg"
"204","Early Oral Feeding in Pediatric Intestinal Anastomosis.",2013,"Indian J Surg"
"205","Traumatic Diaphragmatic Injury: A Marker of Serious Injury Challenging Trauma Surgeons.",2013,"Indian J Surg"
"206","Surgical Management of Gastric Outlet Obstruction Due to Corrosive Injury.",2013,"Indian J Surg"
"207","Comparison of Clinical Outcomes of Phalangeal Fracture Treated with Dorsolateral Approach or Post-middle Approach Using AO Mini Titanium Plate.",2013,"Indian J Surg"
"208","Malone Antegrade Continence Enema in Patients with Perineal Colostomy After Rectal Resection.",2013,"Indian J Surg"
"209","Prevention of Biliary Leakage after Removal of T-tube in Immunocompromised Patients.",2013,"Indian J Surg"
"210","Intravenous Versus Oral Antibiotic Prophylaxis Efficacy for Elective Laparoscopic Cholecystectomies: a Prospective Randomized Controlled Trial.",2013,"Indian J Surg"
"211","Treatment of Femur Fractures in Preschool Children with Double Pin Technique: Immediate Incorporated Hip Spica Casting by Two K-Wires.",2013,"Indian J Surg"
"212","A Randomized, Controlled Trial to Assess the Efficacy of Arthroscopic Debridement in Combination with Oral Medication Versus Oral Medication in Patients with Gouty Knee Arthritis.",2013,"Indian J Surg"
"213","Transumbilical SILC Using Conventional Laparoscopic Instruments-Initial Experience in a Resource-Limited Setting.",2013,"Indian J Surg"
"214","&quot;Laparoscopic Cholecystectomy: A Single Surgeon's Experience in some of the Teaching Hospitals of West Bengal&quot;.",2013,"Indian J Surg"
"215","Measurement of the Distance and Angle Between the Aorta and Superior Mesenteric Artery on CT Scan: Values in Indian Population in Different BMI Categories.",2013,"Indian J Surg"
"216","Surgical Management of Benign Biliary Stricture in Chronic Pancreatitis: A Single-Center Experience.",2013,"Indian J Surg"
"217","Peripheral Arterial Pseudoaneurysms-a 10-Year Clinical Study.",2013,"Indian J Surg"
"218","Malrotation of Small Bowel-Diagnostic Computed Tomography (CT) Signs and Intraoperative Findings.",2013,"Indian J Surg"
"219","Unusual Histopathological Findings in Childhood Appendectomy Specimens.",2013,"Indian J Surg"
"220","Does the Intensity of Cutting Power Affect Postoperative Symptoms During Transurethral Resection with a Monopolar System?",2013,"Indian J Surg"
"221","The Intramedullary Nailing of Adult Femoral Shaft Fracture by the Way of Open Reduction is a Disadvantage or Not?",2013,"Indian J Surg"
"222","Design and Development of Portable Support Surface and Multilayered Fabric Cover for Bed Sore Prevention.",2013,"Indian J Surg"
"223","Cytological Study of Breast Carcinoma Before and After Oncotherapy with Special Reference to Morphometry and Proliferative Activity.",2013,"Indian J Surg"
"224","The Efficacy of Probiotic (Lactobacillus rhamnosus GG) and 5-ASA (Aminosalicylic Acid) in the Treatment of Experimental Radiation Proctitis in Rats.",2013,"Indian J Surg"
"225","Hematological, Biochemical, and Immunological Laboratory and Histomorphological Effects of Sleeve Gastrectomy on Female Rats.",2013,"Indian J Surg"
"226","Osteopontin Expression in Patients with Hepatolith.",2013,"Indian J Surg"
"227","Single-Incision Laparoscopic Cholecystectomy Using Conventional Laparoscopic Instruments and Comparison with Three-Port Cholecystectomy.",2013,"Indian J Surg"
"228","Evaluating Necessity of Azygos Vein Ligation in Primary Repair of Esophageal Atresia.",2013,"Indian J Surg"
"229","Bile Duct Injury-from Injury to Repair: an Analysis of Management and Outcome.",2013,"Indian J Surg"
"230","Cost Analysis of Operation Theatre Services at an Apex Tertiary Care Trauma Centre of India.",2013,"Indian J Surg"
"231","A New Cost-effective Method of NPWT in Diabetic Foot Wound.",2013,"Indian J Surg"
"232","Randomised Controlled Trial of Day-Case Laparoscopic Cholecystectomy vs Routine Laparoscopic Cholecystectomy.",2013,"Indian J Surg"
"233","Hydatid Cyst of the Spleen: Tunisian Series of 21 Cases.",2013,"Indian J Surg"
"234","Histopathological Comparison of Mosquito Net with Polypropylene Mesh for Hernia Repair: An Experimental Study in Rats.",2013,"Indian J Surg"
"235","Gastrointestinal Stromal Tumours: Review of 150 Cases from a Single Centre.",2013,"Indian J Surg"
"236","Myofibroblastoma of the Breast: Diagnostic Challenges of a Rare Benign Tumor.",2013,"Indian J Surg"
"237","The Analysis of Mean Platelet Volume and Platelet Distribution Width Levels in Appendicitis.",2013,"Indian J Surg"
