"","Title","Year","journal"
"1","Changes in the Facial Skeleton With Aging: Implications and Clinical Applications in Facial Rejuvenation.",2012,"Aesthetic Plast Surg"
"2","Heterotopic pleomorphic adenoma in the postauricular area.",2012,"J Dent Sci"
"4","Postherpetic neuralgia: New hopes in prevention with adult vaccination and in treatment with a concentrated capsaicin patch.",2012,"Scand J Pain"
"5","Are sleep problems and non-specific health complaints risk factors for chronic pain? A prospective population-based study with 17 year follow-up.",2012,"Scand J Pain"
"6","'Central sensitization' in chronic neck/shoulder pain.",2012,"Scand J Pain"
"7","Treatment of post-traumatic pain, and autonomic and muscular dysfunction by ganglion impar block and medial branch block of the facet joints: A case report.",2012,"Scand J Pain"
"13","Multidisciplinary pain treatment - Which patients do benefit?",2012,"Scand J Pain"
"14","Whiplash Associated Disorders (WAD): Responses to pharmacological challenges and psychometric tests.",2012,"Scand J Pain"
"15","Differential pain modulation in patients with peripheral neuropathic pain and fibromyalgia.",2012,"Scand J Pain"
"16","The effect of a mental stressor on conditioned pain modulation in healthy subjects.",2012,"Scand J Pain"
"21","Phantom phenomena - Their perceived qualities and consequences from the patient's perspective.",2012,"Scand J Pain"
"22","Pulsed radiofrequency in peripheral posttraumatic neuropathic pain: A double blind sham controlled randomized clinical trial.",2012,"Scand J Pain"
"35","Epidural pain management after open lateral thoracotomy: Female patients have better pain relief and need smaller amounts of analgesics than males.",2012,"Scand J Pain"
"55","Primary small cell carcinoma with neuroendocrine properties of the mandible: A case report and literature review.",2012,"J Dent Sci"
"61","Thymoma with immunodeficiency with multiple recurrent oral herpetic infections.",2012,"J Dent Sci"
"62","Effect of timing of post space preparation on the apical seal when using different sealers and obturation techniques.",2012,"J Dent Sci"
"63","Role of single photon emission computerised tomography in evaluating osseointegration of indigenous DRDO implants: An in vivo study.",2012,"Med J Armed Forces India"
"64","Full mouth rehabilitation of a case of rampant caries using a twin-stage procedure.",2012,"Med J Armed Forces India"
"65","Self ligating lingual appliance.",2012,"Med J Armed Forces India"
"66","Comparative clinical evaluation of removable partial dentures made of two different materials in Kennedy Applegate class II partially edentulous situation.",2012,"Med J Armed Forces India"
"67","Evaluation of the effect of surface preparation using phosphoric acid and luting cement on the flexural strength of porcelain laminate veneering material.",2012,"Med J Armed Forces India"
"68","Evaluation of flexural strength of resin interim restorations impregnated with various types of silane treated and untreated glass fibres.",2012,"Med J Armed Forces India"
"69","Intracerebral Hemorrhage Score and Volume as an Independent Predictor of Mortality in Primary Intracerebral Hemorrhage Patients.",2012,"Indian J Surg"
"70","Prevalence and Dimensions of Complete Sella Turcica Bridges and Its Clinical Significance.",2012,"Indian J Surg"
"71","Impact of Trauma System Preparedness on the Outcomes of Severe Child and Adolescent Injuries.",2012,"Indian J Surg"
"72","Drain After Laparoscopic Cholecystectomy for Acute Calculous Cholecystitis. A Pilot Randomized Study.",2012,"Indian J Surg"
"73","C S in Surgery, a Personal Perspective.",2012,"Indian J Surg"
"74","Honey Dressing Accelerates Split-Thickness Skin Graft Donor Site Healing.",2012,"Indian J Surg"
"75","Post-operative Abdominal Wall Mucormycosis-a Case Series.",2012,"Indian J Surg"
"76","Anatomical Study on the Variations in the Branching Pattern of Internal Iliac Artery.",2012,"Indian J Surg"
"77","Fascial Repair of Laparoscopic Ports with Allis-Hemostat Technique.",2012,"Indian J Surg"
"78","Hepaticoduodenostomy for Biliary Reconstruction After Surgical Resection of Choledochal Cyst: a 25-Year Experience.",2012,"Indian J Surg"
"79","Video-Assisted Thoracoscopic Surgery of Mediastinal Cysts: Report of 13 Cases.",2012,"Indian J Surg"
"80","Preoperative Nutritional Assessment in Elderly Cancer Patients Undergoing Elective Surgery: MNA or PG-SGA?",2012,"Indian J Surg"
"81","Improving Trauma Care in India: the Potential Role of the Rural Trauma Team Development Course (RTTDC).",2012,"Indian J Surg"
"82","On the Role of Ultrasonography and CT Scan in the Diagnosis of Acute Appendicitis.",2012,"Indian J Surg"
"83","Surgical Treatment of Extrapulmonary Oligometastatic Non-small Cell Lung Cancer.",2012,"Indian J Surg"
"84","Modified Tubularized Incised Plate Urethroplasty Repair: Frenuloplasty and Long-Term Results in 155 Patients.",2012,"Indian J Surg"
"85","Correlation of Tumoral Prognostic Factors by Sonoelastography Score in Patients to be Operated Due to Breast Cancer.",2012,"Indian J Surg"
"86","Is There a Relation Between Natal Cleft Depth and Post-Operative Morbidity After Different Methods of Excision of Sacro-Coccygeal Pilonidal Sinus?",2012,"Indian J Surg"
"87","Bay breeze influence on surface ozone at Edgewood, MD during July 2011.",2012,"J Atmos Chem"
"89","Comparative evaluation of accuracy of periodontal probing depth and attachment levels using a Florida probe versus traditional probes.",2012,"Med J Armed Forces India"
