"","Title","Year","journal"
"5","Role of Oral Enzymes in Post Operative Septoplasty Cases.",2014,"Indian J Otolaryngol Head Neck Surg"
"6","A Review and Outcome of Adenoidectomy Performed in Resource Limited Settings.",2014,"Indian J Otolaryngol Head Neck Surg"
"9","The Role of Hypertonic Saline in Monopolar Tonsillectomy in Pediatric Patients.",2014,"Indian J Otolaryngol Head Neck Surg"
"10","Neutrophil-Lymphocyte Ratio as a Prognostic Factor in Laryngeal Carcinoma.",2014,"Indian J Otolaryngol Head Neck Surg"
"14","Relationship between pain and Quality of Life-Findings from the Swedish National Study on Aging and Care-Blekinge study.",2014,"Scand J Pain"
"16","Repeated sinomenine administration alleviates chronic neuropathic pain-like behaviours in rodents without producing tolerance.",2014,"Scand J Pain"
"18","Spinal cord stimulation: Background and clinical application.",2014,"Scand J Pain"
"19","Psychological factors in genital pain: The role of fear-avoidance, pain catastrophizing and anxiety sensitivity among women living in Sweden.",2014,"Scand J Pain"
"20","When sex hurts: Female genital pain with sexual consequences deserves attention: A position paper.",2014,"Scand J Pain"
"22","Associations between abdominal pain symptom dimensions and depression among adolescents.",2014,"Scand J Pain"
"29","Treatment of post-dural puncture headache using epidural injection of fibrin sealant as an alternative to autologous epidural blood patch (case report).",2014,"Scand J Pain"
"30","A hybrid emotion-focused exposure treatment for chronic pain: A feasibility study.",2014,"Scand J Pain"
"32","Psychosocial aspects of everyday life with chronic musculoskeletal pain: A systematic review.",2014,"Scand J Pain"
"35","Mechanisms of visceral pain in health and functional gastrointestinal disorders.",2014,"Scand J Pain"
"47","Effects of prolonged-release oxycodone/naloxone on pain control, bowel function and quality of life: A prospective observational study.",2014,"Scand J Pain"
"62","Symptoms, disabilities, and life satisfaction five years after whiplash injuries.",2014,"Scand J Pain"
"63","Exonic mutations in SCN9A (NaV1.7) are found in a minority of patients with erythromelalgia.",2014,"Scand J Pain"
"64","Hyperalgesia and allodynia to superficial and deep-tissue mechanical stimulation within and outside of the UVB irradiated area in human skin.",2014,"Scand J Pain"
"65","Managing post-thoracotomy pain: Epidural or systemic analgesia and extended care - A randomized study with an &quot;as usual&quot; control group.",2014,"Scand J Pain"
"68","Coagulopathy secondary to vitamin K deficiency caused by severe diarrhea.",2014,"Am J Emerg Med"
"70","Real-time field sports scene classification using colour and frequency space decompositions.",2014,"J Real Time Image Process"
"71","Nephrotic syndrome as the first manifestation of juvenile systemic scleroderma.",2014,"Rev Bras Reumatol Engl Ed"
"72","Presence of riziform bodies in a patient with juvenile idiopathic arthritis: case report and literature review.",2014,"Rev Bras Reumatol Engl Ed"
"75","Start-up performance and granular sludge features of an improved external circulating anaerobic reactor for algae-laden water treatment.",2014,"Saudi J Biol Sci"
"76","Proteins are potent biomarkers to detect colon cancer progression.",2014,"Saudi J Biol Sci"
"78","Pneumocystis pneumonia complicating immunosuppressive therapy in Crohns disease: A preventable problem?",2014,"Frontline Gastroenterol"
