"","Title","Year","journal"
"6","Enhancing Masculine Features After Massive Weight Loss.",2016,"Aesthetic Plast Surg"
"7","Consensus on Current Injectable Treatment Strategies in the Asian Face.",2016,"Aesthetic Plast Surg"
"8","The Aesthetically Ideal Position of the Nipple-Areola Complex on the Breast.",2016,"Aesthetic Plast Surg"
"9","Longitudinal trajectories of athlete burnout among young table tennis players: A 3-wave study.",2016,"J Sport Health Sci"
"13","The experience of fatigue in neurological patients with Multiple Sclerosis: a thematic synthesis.",2016,"Physiotherapy"
"14","Rapidly Evolving Large Rhinolith: Cause of Recurrent Nasal Bleed.",2016,"Indian J Otolaryngol Head Neck Surg"
"15","Nasal Congenital Panfollicular Nevus.",2016,"Indian J Otolaryngol Head Neck Surg"
"16","Treatment of Allergic Rhinitis: A Comparative Study of Traditional Antihistamine oral Rupatidine Versus Oral Rupatidine with a Lipid Based Nasal Ointment.",2016,"Indian J Otolaryngol Head Neck Surg"
"17","Mixed Type Haemangioma of the Inferior Turbinate: A Rare Cause of Epistaxis.",2016,"Indian J Otolaryngol Head Neck Surg"
"18","Appraisal of diversity and functional attributes of thermotolerant wheat associated bacteria from the peninsular zone of India.",2016,"Saudi J Biol Sci"
"19","Osteoma of Mastoid Bone; A Rare Presentation: Case Report.",2016,"Indian J Otolaryngol Head Neck Surg"
"20","A Rare Case of Heerfordt's Syndrome with Bilateral Facial Palsy.",2016,"Indian J Otolaryngol Head Neck Surg"
"21","Tongue Base Schwannoma.",2016,"Indian J Otolaryngol Head Neck Surg"
"22","Grisel Syndrome in Otolaryngology: A Case Series with Literature Review.",2016,"Indian J Otolaryngol Head Neck Surg"
"23","Epithelial Myoepithelial Carcinoma of Parotid Gland.",2016,"Indian J Otolaryngol Head Neck Surg"
"24","Apocrine Hidrocystoma: A Rare Case Report.",2016,"Indian J Otolaryngol Head Neck Surg"
"25","Disfiguring Giant Odontogenic Myxoma of Mandible: A Case Report with Brief Review of Literature.",2016,"Indian J Otolaryngol Head Neck Surg"
"26","Proton Beam Therapy for Locally Recurrent Parotid Gland Cancer.",2016,"Indian J Otolaryngol Head Neck Surg"
"27","Stridor Secondary to Acquired Subglottic Cyst: Rarity Makes it Missed.",2016,"Indian J Otolaryngol Head Neck Surg"
"28","Parry Romberg Syndrome.",2016,"Indian J Otolaryngol Head Neck Surg"
"29","Solitary Neurofibroma of the Soft Palate: A Rare Entity.",2016,"Indian J Otolaryngol Head Neck Surg"
"30","Emotions and performance in rugby.",2016,"J Sport Health Sci"
"32","Comparison of three types of warm-up upon sprint ability in experienced soccer players.",2016,"J Sport Health Sci"
"34","Training session intensity affects plasma redox status in amateur rhythmic gymnasts.",2016,"J Sport Health Sci"
"40","Does Continuing Medical Education (CME) Activity Contribute to Learning Gain: An Objective Evaluation.",2016,"Indian J Otolaryngol Head Neck Surg"
"41","Influences of load carriage and physical activity history on tibia bone strain.",2016,"J Sport Health Sci"
"42","Effects of intermittent sprint and plyometric training on endurance running performance.",2016,"J Sport Health Sci"
"44","Kinematic alterations after two high-intensity intermittent training protocols in endurance runners.",2016,"J Sport Health Sci"
"46","Genetic variations of NOD2 and MD2 genes in hepatitis B virus infection.",2016,"Saudi J Biol Sci"
"53","Spectrum of Tuberculous Infection in Patients Suffering from HIV/AIDS and Its Correlation with CD-4 Counts: A Retrospective Study from Sikkim.",2016,"Indian J Otolaryngol Head Neck Surg"
"54","Expression of micrornas in molecular genetic breast cancer subtypes.",2016,"Cancer Treat Res Commun"
"55","The effect of performance demands on lower extremity biomechanics during landing and cutting tasks.",2016,"J Sport Health Sci"
"57","Pharmacotherapy of unlicensed medicines prepared and distributed by Dutch pharmacies.",2016,"Eur J Hosp Pharm"
"58","Current practice of preparing morphine infusions for nurse/patient-controlled analgesia in a UK paediatric hospital: healthcare professionals' views and experiences.",2016,"Eur J Hosp Pharm"
"59","What do laypeople consider 'medication' and are they aware of modulators of a drug's effects?",2016,"Eur J Hosp Pharm"
"60","Physicochemical stability of oxycodone-ketamine solutions in polypropylene syringe and polyvinyl chloride bag for patient-controlled analgesia use.",2016,"Eur J Hosp Pharm"
"61","Building for better bones: evaluation of a clinical pathway in the secondary prevention of osteoporotic fractures.",2016,"Eur J Hosp Pharm"
"62","Feasibility of a multidisciplinary approach for medical review among elderly patients in four Italian long-term nursing homes.",2016,"Eur J Hosp Pharm"
"63","Oral anticancer medicines in acute oncology; recognition by non-specialist clinicians and risk reduction measures.",2016,"Eur J Hosp Pharm"
"64","Compatibility of proton pump inhibitors in a preservative-free suspending vehicle.",2016,"Eur J Hosp Pharm"
"66","Presacral tumors: diagnosis and treatment - a challenge for a surgeon.",2016,"Arch Med Sci"
"71","Premature battery depletion with St. Jude Medical ICD and CRT-D devices: Indian Heart Rhythm Society Guidelines for physicians.",2016,"Indian Heart J"
"72","Determinants of inspiratory muscle function in healthy children.",2016,"J Sport Health Sci"
"75","Nonconsensual Neurocorrectives and Bodily Integrity: a Reply to Shaw and Barn.",2016,"Neuroethics"
"76","Can Medical Interventions Serve as 'Criminal Rehabilitation'?",2016,"Neuroethics"
"77","Procedural Moral Enhancement.",2016,"Neuroethics"
"82","The libertarian predicament: a plea for action theory.",2016,"Synthese"
"96","Monitoring stress and recovery states: Structural and external stages of the short version of the RESTQ sport in elite swimmers before championships.",2016,"J Sport Health Sci"
"97","The impact of weather on summer and winter exercise behaviors.",2016,"J Sport Health Sci"
"101","Evaluation of inflammatory response in patients undergoing surgical treatment for early and delayed femoral fractures.",2016,"Arch Med Sci"
"102","Soluble urokinase plasminogen activator receptor in one-year prediction of major adverse cardiac events in patients after first myocardial infarction treated with primary percutaneous coronary intervention.",2016,"Arch Med Sci"
"109","Comparing symbiotic performance and physiological responses of two soybean cultivars to arbuscular mycorrhizal fungi under salt stress.",2016,"Saudi J Biol Sci"
"120","The potential protective influence of flaxseed oil against renal toxicity induced by thioacetamide in rats.",2016,"Saudi J Biol Sci"
"121","Assessment of heavy metal contamination and Hg-resistant bacteria in surface water from different regions of Delhi, India.",2016,"Saudi J Biol Sci"
"122","Factors influencing chemical quality of composted poultry waste.",2016,"Saudi J Biol Sci"
"123","On the formation of taiji diagram from the perspective of twenty-four solar terms.",2016,"Saudi J Biol Sci"
"124","Removal of vanadium from vanadium-containing wastewater by amino modified municipal sludge derived ceramic.",2016,"Saudi J Biol Sci"
"125","Public health and veterinary important flies (order: Diptera) prevalent in Jeddah Saudi Arabia with their dominant characteristics and identification key.",2016,"Saudi J Biol Sci"
"127","Impact of lactation stage on milk composition and blood biochemical and hematological parameters of dairy Baladi goats.",2016,"Saudi J Biol Sci"
"129","Interaction with angiotensin-converting enzyme-encoding gene in female infertility: Insertion and deletion polymorphism studies.",2016,"Saudi J Biol Sci"
"132","Combining GIS application and climatic factors for mosquito control in Eastern Province, Saudi Arabia.",2016,"Saudi J Biol Sci"
"133","Studies on the ameliorative effect of curcumin on carbofuran induced perturbations in the activity of lactate dehydrogenase in wistar rats.",2016,"Saudi J Biol Sci"
"137","Effects of folic acid on the antiproliferative efficiency of doxorubicin, camptothecin and methyl methanesulfonate in MCF-7 cells by mRNA endpoints.",2016,"Saudi J Biol Sci"
"138","Seed maturation time influences the germination requirements of perennial grasses in desert climate of Arabian Gulf.",2016,"Saudi J Biol Sci"
"150","Modeling studies on mono and binary component biosorption of phenol and cyanide from aqueous solution onto activated carbon derived from saw dust.",2016,"Saudi J Biol Sci"
"154","Middle East respiratory syndrome coronavirus (MERS-CoV): Impact on Saudi Arabia, 2015.",2016,"Saudi J Biol Sci"
"157","Effects of the perinatal exposure of Gum Arabic on the development, behavior and biochemical parameters of mice offspring.",2016,"Saudi J Biol Sci"
"159","The utility of inflammation and platelet biomarkers in patients with acute coronary syndromes.",2016,"Saudi J Biol Sci"
"160","Hepatitis B virus precore G1896A mutation in chronic liver disease patients with HBeAg negative serology from North India.",2016,"Saudi J Biol Sci"
"166","Intention and automaticity toward physical and sedentary screen-based leisure activities in adolescents: A profile perspective.",2016,"J Sport Health Sci"
"168","The effects of oral smokeless tobacco administration on endurance performance.",2016,"J Sport Health Sci"
"178","Connexin 43 expression in the testes during postnatal development of finasteride-treated male rat offspring.",2016,"Arch Med Sci"
"179","Health needs as a priority of local authorities in Poland based on the example of implementation of health policy cancer programmes.",2016,"Arch Med Sci"
"180","High-normal thyroid-stimulating hormone in euthyroid subjects is associated with risk of mortality and composite disease endpoint only in women.",2016,"Arch Med Sci"
"194","Does the McNeill Alexander model accurately predict maximum walking speed in novice and experienced race walkers?",2016,"J Sport Health Sci"
"195","Footfall patterns of a runner with an Achilles tendon rupture.",2016,"J Sport Health Sci"
"196","The effect of fitness level on cardiac autonomic regulation, IL-6, total antioxidant capacity, and muscle damage responses to a single bout of high-intensity interval training.",2016,"J Sport Health Sci"
"197","Reliability and validity of the French version of the global physical activity questionnaire.",2016,"J Sport Health Sci"
"198","The Wingate anaerobic test cannot be used for the evaluation of growth hormone secretion in children with short stature.",2016,"J Sport Health Sci"
