"","Title","Year","journal"
"6","Consensus on Changing Trends, Attitudes, and Concepts of Asian Beauty.",2015,"Aesthetic Plast Surg"
"7","Lipoma of Hard Palate: Commonest Tumour at Rarest Site.",2015,"Indian J Otolaryngol Head Neck Surg"
"8","Solitary Extramedullary Plasmacytoma of the Sphenoid Sinus: A Case Report.",2015,"Indian J Otolaryngol Head Neck Surg"
"9","Evaluation of Association of Allergic Rhinitis with Bronchial Asthma.",2015,"Indian J Otolaryngol Head Neck Surg"
"10","The Nasal Hemangioma.",2015,"Indian J Otolaryngol Head Neck Surg"
"11","Evaluation of Liver Functions Based on Serum Aminotransferase Enzyme Levels in Patients with Obstructive Sleep Apnea Syndrome.",2015,"Indian J Otolaryngol Head Neck Surg"
"12","Does Separate Administration of Montelukast and Levocetirizine Provide Better Results in Perennial Allergic Rhinitis: A Hospital Based Study.",2015,"Indian J Otolaryngol Head Neck Surg"
"13","Dermatitis Neglecta Affecting Nose: A Case Report.",2015,"Indian J Otolaryngol Head Neck Surg"
"14","Lobular Capillary Hemangioma of the Ethmoid Sinus: A Report of Two Cases.",2015,"Indian J Otolaryngol Head Neck Surg"
"15","Myeloid Sarcoma of Temporal Bone: A Rare Manifestation of Relapse Acute Myeloid Leukemia.",2015,"Indian J Otolaryngol Head Neck Surg"
"16","Histological and Histochemical Observations on Mast Cell and Glands in Chronic Tonsillitis.",2015,"Indian J Otolaryngol Head Neck Surg"
"17","Nasopharyngeal Stenosis: A Rare Radiotherapy Complication.",2015,"Indian J Otolaryngol Head Neck Surg"
"18","Low Grade Fibromyxoid Sarcoma in Oral Cavity: A Rare Case Report.",2015,"Indian J Otolaryngol Head Neck Surg"
"19","An Unusual Presentation of Wegener's Granulomatosis with Otologic Symptoms and Unilateral Parotid Gland Enlargement.",2015,"Indian J Otolaryngol Head Neck Surg"
"20","Management of a Rare Lymphoepithelial Carcinoma of the Submandibular Gland in Elderly.",2015,"Indian J Otolaryngol Head Neck Surg"
"21","Sharp 3-Ended Metallic Foreign Body in an Infant Hypopharynx.",2015,"Indian J Otolaryngol Head Neck Surg"
"23","Small-Cell Neuroendocrine Tumor of Larynx: A Rare Presentation.",2015,"Indian J Otolaryngol Head Neck Surg"
"24","Hybrid mesoporous silicates: A distinct aspect to synthesis and application for decontamination of phenols.",2015,"Saudi J Biol Sci"
"28","Why shared-care arrangements for prescribing in attention deficit hyperactivity disorder may not be accepted.",2015,"Eur J Hosp Pharm"
"30","Tissue-Sparing Uvulopalatopharyngoplasty for OSA: Conservative, Compassionate and Possibly just as Effective.",2015,"Indian J Otolaryngol Head Neck Surg"
"32","Can infrared thermography be used to monitor fatigue during exercise? A case study.",2015,"J Sport Health Sci"
"36","Epidemiological characterization of serotype group B Streptococci neonatal infections associated with interleukin-6 level as a sensitive parameter for the early diagnosis.",2015,"Saudi J Biol Sci"
"38","Dual-frequency whole body vibration enhances vertical jumping and change-of-direction ability in rugby players.",2015,"J Sport Health Sci"
"39","Three-dimensional impact kinetics with foot-strike manipulations during running.",2015,"J Sport Health Sci"
"41","The influence of different exercise intensities on kicking accuracy and velocity in soccer players.",2015,"J Sport Health Sci"
"42","Shock attenuation, spatio-temporal and physiological parameter comparisons between land treadmill and water treadmill running.",2015,"J Sport Health Sci"
"43","Mental training can improve physical activity behavior in adolescent girls.",2015,"J Sport Health Sci"
"44","Motivation dimensions for running a marathon: A new model emerging from the Motivation of Marathon Scale (MOMS).",2015,"J Sport Health Sci"
"45","Modelling home advantage for individual teams in UEFA Champions League football.",2015,"J Sport Health Sci"
"46","Assessing acceptance in mindfulness with direct-worded items: The development and initial validation of the Athlete Mindfulness Questionnaire.",2015,"J Sport Health Sci"
"50","Superintendence of antimicrobial resistance observed in bacterial flora isolated from human faecal carriage in Vellore, India.",2015,"Saudi J Biol Sci"
"52","Foot care practices of diabetic patients in Saudi Arabia.",2015,"Saudi J Biol Sci"
"55","Alteration in antioxidant genes expression in some fish caught from Jeddah and Yanbu coast as a bio-indicator of oil hydrocarbons pollution.",2015,"Saudi J Biol Sci"
"59","Changes in protein quantities of phosphoenolpyruvate carboxylase and Rubisco activase in various wheat genotypes.",2015,"Saudi J Biol Sci"
"62","Growth inhibitory properties of lactose fatty acid esters.",2015,"Saudi J Biol Sci"
"63","Effect of gastric and small intestinal digestion on lactic acid bacteria activity in a GIS1 simulator.",2015,"Saudi J Biol Sci"
"65","Is 11C-choline Positron Emission Tomography/Computed Tomography Accurate to Detect Nodal Relapses of Prostate Cancer After Biochemical Recurrence? A Multicentric Study Based on Pathologic Confirmation from Salvage Lymphadenectomy.",2015,"Eur Urol Focus"
"67","Upper extremity venous thrombosis associated with primary antiphospholipid syndrome and immunoglobulin M nephropathy in diabetes mellitus type II.",2015,"Eur J Rheumatol"
"69","Towards a framework to assess, compare and develop monitoring and evaluation of climate change adaptation in Europe.",2015,"Mitig Adapt Strateg Glob Chang"
"70","Urban heat indicator map for climate adaptation planning.",2015,"Mitig Adapt Strateg Glob Chang"
"71","Flood protection and endogenous sorting of households: the role of credit constraints.",2015,"Mitig Adapt Strateg Glob Chang"
"73","Masson's Hemangioma of the Cheek: A Case Report.",2015,"Indian J Otolaryngol Head Neck Surg"
"74","Results of Hearing Outcome According to the Alloplastic Ossicular Prosthesis Materials.",2015,"Indian J Otolaryngol Head Neck Surg"
"78","Coping with painful sex: Development and initial validation of the CHAMP Sexual Pain Coping Scale.",2015,"Scand J Pain"
"79","Cognitive behaviour therapy in women with fibromyalgia: A randomized clinical trial.",2015,"Scand J Pain"
"80","Building the evidence for CRPS research from a lived experience perspective.",2015,"Scand J Pain"
"81","Action identification and meaning in life in chronic pain.",2015,"Scand J Pain"
"83","Systemic administration of WY-14643, a selective synthetic agonist of peroxisome proliferator activator receptor-alpha, alters spinal neuronal firing in a rodent model of neuropathic pain.",2015,"Scand J Pain"
"85","Reliability of pressure pain threshold testing in healthy pain free young adults.",2015,"Scand J Pain"
"90","The Swedish version of the Insomnia Severity Index: Factor structure analysis and psychometric properties in chronic pain patients.",2015,"Scand J Pain"
"91","Assessment of pain in children with cerebral palsy focused on translation and clinical feasibility of the revised FLACC score.",2015,"Scand J Pain"
"92","The revised FLACC score: Reliability and validation for pain assessment in children with cerebral palsy.",2015,"Scand J Pain"
"96","Differential analgesic effects of subanesthetic concentrations of lidocaine on spontaneous and evoked pain in human painful neuroma: A randomized, double blind study.",2015,"Scand J Pain"
"97","Migraine co-existing tension-type headache and neck pain: Validation of questionnaires.",2015,"Scand J Pain"
"98","Prehospital personnel's attitudes to pain management.",2015,"Scand J Pain"
"103","Treatment of chronic canalithiasis can be beneficial for patients with vertigo/dizziness and chronic musculoskeletal pain, including whiplash related pain.",2015,"Scand J Pain"
"106","Effects of aloperine on acute and inflammatory pain models in mice.",2015,"Scand J Pain"
"107","Happy despite pain: Pilot study of a positive psychology intervention for patients with chronic pain.",2015,"Scand J Pain"
"109","Experimental design and reporting standards for improving the internal validity of pre-clinical studies in the field of pain: Consensus of the IMI-Europain consortium.",2015,"Scand J Pain"
"110","Nitrous oxide analgesia for bone marrow aspiration and biopsy - A randomized, controlled and patient blinded study.",2015,"Scand J Pain"
